,IS2_file,S1_id,start_date,end_date,track,cycle
50,ATL10-02_20210319151454_13081001_005_01.h5,COPERNICUS/S2_SR/20210319T155329_20210319T155325_T11CNT,3/19/2021,3/20/2021,1308,10
51,ATL10-02_20210319151454_13081001_005_01.h5,COPERNICUS/S2_SR/20210319T155329_20210319T155325_T11CNU,3/19/2021,3/20/2021,1308,10
52,ATL10-02_20210319151454_13081001_005_01.h5,COPERNICUS/S2_SR/20210319T155329_20210319T155325_T12CVC,3/19/2021,3/20/2021,1308,10
53,ATL10-02_20210319151454_13081001_005_01.h5,COPERNICUS/S2_SR/20210319T155329_20210319T155325_T12CVD,3/19/2021,3/20/2021,1308,10
54,ATL10-02_20210320144915_13231001_005_01.h5,COPERNICUS/S2_SR/20210320T152259_20210320T152302_T12CWC,3/20/2021,3/21/2021,1323,10
55,ATL10-02_20210320144915_13231001_005_01.h5,COPERNICUS/S2_SR/20210320T152259_20210320T152302_T12CWE,3/20/2021,3/21/2021,1323,10
56,ATL10-02_20210320144915_13231001_005_01.h5,COPERNICUS/S2_SR/20210320T152259_20210320T152302_T13CDU,3/20/2021,3/21/2021,1323,10
57,ATL10-02_20211025170252_05081301_005_01.h5,COPERNICUS/S2_SR/20211025T155329_20211025T155328_T13CDT,10/25/2021,10/26/2021,508,13
58,ATL10-02_20211026163711_05231301_005_01.h5,COPERNICUS/S2_SR/20211026T152309_20211026T152305_T14CMC,10/26/2021,10/27/2021,523,13
59,ATL10-02_20211028185428_05551301_005_01.h5,COPERNICUS/S2_SR/20211028T174439_20211028T174433_T07CFV,10/28/2021,10/29/2021,555,13
60,ATL10-02_20211028185428_05551301_005_01.h5,COPERNICUS/S2_SR/20211028T174439_20211028T174433_T07DFA,10/28/2021,10/29/2021,555,13
61,ATL10-02_20211028185428_05551301_005_01.h5,COPERNICUS/S2_SR/20211028T174439_20211028T174433_T08CMB,10/28/2021,10/29/2021,555,13
62,ATL10-02_20211028185428_05551301_005_01.h5,COPERNICUS/S2_SR/20211028T174439_20211028T174433_T08CME,10/28/2021,10/29/2021,555,13
63,ATL10-02_20211028185428_05551301_005_01.h5,COPERNICUS/S2_SR/20211028T174439_20211028T174433_T08DMF,10/28/2021,10/29/2021,555,13
64,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T09CWT,10/30/2021,10/31/2021,585,13
65,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T09CWU,10/30/2021,10/31/2021,585,13
66,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T09CWV,10/30/2021,10/31/2021,585,13
67,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T10CDC,10/30/2021,10/31/2021,585,13
68,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T10CDD,10/30/2021,10/31/2021,585,13
69,ATL10-02_20211030180310_05851301_005_01.h5,COPERNICUS/S2_SR/20211030T164359_20211030T164353_T10CDE,10/30/2021,10/31/2021,585,13
70,ATL10-02_20211112184652_07841301_005_01.h5,COPERNICUS/S2_SR/20211112T183459_20211112T183501_T06CWE,11/12/2021,11/13/2021,784,13
71,ATL10-02_20211120165555_09051301_005_01.h5,COPERNICUS/S2_SR/20211120T161339_20211120T161339_T10CDC,11/20/2021,11/21/2021,905,13
72,ATL10-02_20211128163914_10271301_005_01.h5,COPERNICUS/S2_SR/20211128T171359_20211128T171359_T10CDD,11/28/2021,11/29/2021,1027,13
73,ATL10-02_20211129161335_10421301_005_01.h5,COPERNICUS/S2_SR/20211129T164349_20211129T164347_T10CEC,11/29/2021,11/30/2021,1042,13
74,ATL10-02_20211130154755_10571301_005_01.h5,COPERNICUS/S2_SR/20211130T161339_20211130T161337_T11CNS,11/30/2021,12/1/2021,1057,13
75,ATL10-02_20211130154755_10571301_005_01.h5,COPERNICUS/S2_SR/20211130T161339_20211130T161337_T11CNT,11/30/2021,12/1/2021,1057,13
76,ATL10-02_20211130154755_10571301_005_01.h5,COPERNICUS/S2_SR/20211130T161339_20211130T161337_T11DNB,11/30/2021,12/1/2021,1057,13
77,ATL10-02_20211130154755_10571301_005_01.h5,COPERNICUS/S2_SR/20211130T161339_20211130T161337_T12CVB,11/30/2021,12/1/2021,1057,13
78,ATL10-02_20211130154755_10571301_005_01.h5,COPERNICUS/S2_SR/20211130T161339_20211130T161337_T12CVC,11/30/2021,12/1/2021,1057,13
79,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T12CWB,12/1/2021,12/2/2021,1072,13
80,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T12CWC,12/1/2021,12/2/2021,1072,13
81,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T12DWG,12/1/2021,12/2/2021,1072,13
82,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T13CDS,12/1/2021,12/2/2021,1072,13
83,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T13CDT,12/1/2021,12/2/2021,1072,13
84,ATL10-02_20211201152216_10721301_005_01.h5,COPERNICUS/S2_SR/20211201T154309_20211201T154311_T13CDU,12/1/2021,12/2/2021,1072,13
85,ATL10-02_20211202145637_10871301_005_01.h5,COPERNICUS/S2_SR/20211202T151259_20211202T151255_T13CEU,12/2/2021,12/3/2021,1087,13
86,ATL10-02_20211202145637_10871301_005_01.h5,COPERNICUS/S2_SR/20211202T151259_20211202T151255_T13CEV,12/2/2021,12/3/2021,1087,13
87,ATL10-02_20211202145637_10871301_005_01.h5,COPERNICUS/S2_SR/20211202T151259_20211202T151255_T13DEA,12/2/2021,12/3/2021,1087,13
88,ATL10-02_20211215140600_12851301_005_01.h5,COPERNICUS/S2_SR/20211215T152259_20211215T152257_T13CFV,12/15/2021,12/16/2021,1285,13
89,ATL10-02_20211215140600_12851301_005_01.h5,COPERNICUS/S2_SR/20211215T152259_20211215T152257_T13DFA,12/15/2021,12/16/2021,1285,13
90,ATL10-02_20211215140600_12851301_005_01.h5,COPERNICUS/S2_SR/20211215T152259_20211215T152257_T14CME,12/15/2021,12/16/2021,1285,13
91,ATL10-02_20211215140600_12851301_005_01.h5,COPERNICUS/S2_SR/20211215T152259_20211215T152257_T14DMF,12/15/2021,12/16/2021,1285,13
92,ATL10-02_20211219153157_13471301_005_01.h5,COPERNICUS/S2_SR/20211219T164349_20211219T164346_T10CDC,12/19/2021,12/20/2021,1347,13
93,ATL10-02_20211220150617_13621301_005_01.h5,COPERNICUS/S2_SR/20211220T161339_20211220T161336_T11CMS,12/20/2021,12/21/2021,1362,13
94,ATL10-02_20211220150617_13621301_005_01.h5,COPERNICUS/S2_SR/20211220T161339_20211220T161336_T11CMT,12/20/2021,12/21/2021,1362,13
95,ATL10-02_20211220150617_13621301_005_01.h5,COPERNICUS/S2_SR/20211220T161339_20211220T161336_T11CNS,12/20/2021,12/21/2021,1362,13
96,ATL10-02_20211221144038_13771301_005_01.h5,COPERNICUS/S2_SR/20211221T154309_20211221T154310_T12CVA,12/21/2021,12/22/2021,1377,13
97,ATL10-02_20211221144038_13771301_005_01.h5,COPERNICUS/S2_SR/20211221T154309_20211221T154310_T12CVB,12/21/2021,12/22/2021,1377,13
