,IS2_file,S1_id,start_date,end_date,track,cycle
50,ATL10-02_20200108161404_01980601_005_02.h5,COPERNICUS/S2_SR/20200108T171359_20200108T171358_T05CNN,1/8/2020,1/9/2020,198,6
51,ATL10-02_20200108161404_01980601_005_02.h5,COPERNICUS/S2_SR/20200108T171359_20200108T171358_T06CVT,1/8/2020,1/9/2020,198,6
52,ATL10-02_20200108161404_01980601_005_02.h5,COPERNICUS/S2_SR/20200108T171359_20200108T171358_T06CWT,1/8/2020,1/9/2020,198,6
53,ATL10-02_20200108161404_01980601_005_02.h5,COPERNICUS/S2_SR/20200108T171359_20200108T171358_T07CDN,1/8/2020,1/9/2020,198,6
54,ATL10-02_20210310190548_11731001_005_01.h5,COPERNICUS/S2_SR/20210310T184459_20210310T184501_T02CNA,3/10/2021,3/11/2021,1173,10
55,ATL10-02_20210310190548_11731001_005_01.h5,COPERNICUS/S2_SR/20210310T184459_20210310T184501_T02CNU,3/10/2021,3/11/2021,1173,10
56,ATL10-02_20210310190548_11731001_005_01.h5,COPERNICUS/S2_SR/20210310T184459_20210310T184501_T02CNV,3/10/2021,3/11/2021,1173,10
57,ATL10-02_20210310190548_11731001_005_01.h5,COPERNICUS/S2_SR/20210310T184459_20210310T184501_T03CVQ,3/10/2021,3/11/2021,1173,10
58,ATL10-02_20210310190548_11731001_005_01.h5,COPERNICUS/S2_SR/20210310T184459_20210310T184501_T03CVR,3/10/2021,3/11/2021,1173,10
59,ATL10-02_20211030211144_05871301_005_01.h5,COPERNICUS/S2_SR/20211030T200529_20211030T200532_T01DFA,10/30/2021,10/31/2021,587,13
60,ATL10-02_20211030211144_05871301_005_01.h5,COPERNICUS/S2_SR/20211030T200529_20211030T200532_T02DMF,10/30/2021,10/31/2021,587,13
61,ATL10-02_20211101202025_06171301_005_01.h5,COPERNICUS/S2_SR/20211101T190459_20211101T190530_T04CDA,11/1/2021,11/2/2021,617,13
62,ATL10-02_20211112184652_07841301_005_01.h5,COPERNICUS/S2_SR/20211112T183459_20211112T183501_T06CWE,11/12/2021,11/13/2021,784,13
63,ATL10-02_20211126190449_09981301_005_01.h5,COPERNICUS/S2_SR/20211126T181509_20211126T181508_T05CMN,11/26/2021,11/27/2021,998,13
64,ATL10-02_20211127183910_10131301_005_01.h5,COPERNICUS/S2_SR/20211127T174429_20211127T174427_T05CMQ,11/27/2021,11/28/2021,1013,13
65,ATL10-02_20211127183910_10131301_005_01.h5,COPERNICUS/S2_SR/20211127T174429_20211127T174427_T05CNQ,11/27/2021,11/28/2021,1013,13
66,ATL10-02_20211203173932_11041301_005_01.h5,COPERNICUS/S2_SR/20211203T162339_20211203T162340_T07CDP,12/3/2021,12/4/2021,1104,13
67,ATL10-02_20211203173932_11041301_005_01.h5,COPERNICUS/S2_SR/20211203T162339_20211203T162340_T07CEP,12/3/2021,12/4/2021,1104,13
